wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, primary_class 
GL2U1GE08001, ,69.41,-50.3,88.52, ,1
GL2U1GF04001, ,69.91,-50.28,997.59, ,1
GL2U1GF04002, ,69.86,-50.05,236.22, ,1
GL2U1GF05001, ,69.83,-50.06,115.75, ,1
GL2U1GF06001, ,69.8,-50.21,919.9, ,1
GL2U1GF06002, ,69.71,-49.98,117.46, ,1
GL2U1GF07001, ,69.7,-50.06,127.64, ,1
GL2U1GF07002, ,69.66,-50.03,139.49, ,1
GL2U1GH15020, ,70.21,-50.33,128.93, ,1
GL2U1GH16001, ,70.2,-50.25,124.12, ,1
GL2U1GH17001, ,70.06,-50.31,1594.45, ,1
GL2U1GH17002, ,70.06,-50,76.66, ,1
GL2U1GH18001, ,70,-50.15,2268.53, ,1
GL2U1GH19001, ,69.95,-50.26,72.8, ,1
GL2U1IB03001, ,70.65,-50.55,305.96, ,1
GL2U1IB03002, ,70.61,-50.46,57.2, ,1
GL2U1IB11001, ,70.58,-50.46,288.27, ,1
GL2U1IB11002, ,70.56,-50.41,56.26, ,1
GL2U1IB12001, ,70.4,-50.53,2796.39, ,1
GL2U1IB13001, ,70.35,-50.4,73.89, ,1
GL2U1IB14001, ,70.26,-50.33,137.35, ,1
GL2U1IC06001, ,70.95,-50.78,26.34, ,1
GL2U1IC06002, ,70.93,-50.73,29.19, ,1
GL2U1IC07001, ,70.85,-50.73,1241.46, ,1
GL2U1IC07002, ,70.81,-50.45,24.19, ,1
GL2U1IC08001, ,70.78,-50.61,37.29, ,1
GL2U1IC09001, ,70.75,-50.63,25.69, ,1
GL2U1IC09002, ,70.73,-50.58,561.58, ,1
GL2U1IC09003, ,70.68,-50.53,65.22, ,1
GL2U1ID20001, ,70.98,-50.81,298.63, ,1
