wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, snow_line_date 
SU5X14210370,370,41.21,78.23,0.8,3750, 
SU5X14210371,371,41.21,78.25,0.9,4355, 
SU5X14301015,15,39.52,69.37,0.3,4180, 
SU5X14301178,178,39.57,70.37,20.6,4000, 
SU5X14301202,202,39.55,70.67,38.7,3855, 
SU5X14301306,306,39.38,70.17,0.2,3970, 
SU5X14301307,307,39.38,70.17,0.2,3960, 
SU5X14301308,308,39.37,70.15,0.1,4010, 
SU5X14301309,309,39.38,70.15,0.2,4110, 
SU5X14301457,457,39.23,69.17,0.3,4265, 
SU5X14301477,477,39.25,69.03,0.1,3950, 
SU5X14301480,480,39.27,68.98,0.1,4140, 
SU5X14301493,493,39.25,68.78,0.1,4070, 
SU5X14301501,501,39.27,68.68,0.2,3860, 
SU5X14301527,527,39.27,69.45,0.4,4350, 
SU5X14301536,536,39.27,69.65,0.3,4230, 
SU5X14301596,596,39.03,69.07,0.4,4070, 
SU5X14301604,604,39.12,69.03,0.1,3930, 
SU5X14301608,608,39.07,69,0.4,4030, 
SU5X14301611,611,39.15,68.98,0.1,4230, 
SU5X14301733,733,39.17,68.18,0.2,4150, 
SU5X14306013,13,39.13,69.87,0.8,3930,19590101
SU5X14306310,310,39.38,70.83,0.3,4060,19550101
SU5X14315399,399,37.7,72.68,0.5,4880,19470101
SU5X14317003,3,39.23,73.57,2.8,5490,19460101
AQ6C10200001, Radiosletta,-68.782,-90.652,8.104,235, 
AQ6C10200002, ,-68.777,-90.624,0.263,223, 
AQ6C10200003, Simonovbreen,-68.797,-90.585,18.269,702, 
AQ6C10200004, Taabreen,-68.815,-90.528,6.392,278, 
AQ6C10200005, Haelbreen,-68.828,-90.523,8.213,429, 
AQ6C10200008, ,-68.834,-90.488,0.417,88, 
AQ6C10200012, Storfallet Eastern,-68.846,-90.506,16.831,587, 
AQ6C10200014, Storfallet Central,-68.897,-90.502,34.323,496, 
AQ6C10200015, ,-68.914,-90.583,2.816,243, 
AQ6C10200016, Zavodovskibreen,-68.895,-90.598,17.837,479, 
AQ6C10200017, Sprekkehallet,-68.863,-90.687,18.431,533, 
AQ6C10200019, Toftebreen,-68.846,-90.691,9.335,885, 
AQ6C10200020, ,-68.836,-90.706,0.32,391, 
AQ6C10200021, Havhestbotnen,-68.829,-90.693,0.704,533, 
AQ6C10200022, ,-68.822,-90.694,1.066,658, 
AQ6C10200025, Nils Larsenbreen,-68.815,-90.695,4.611,646, 
AQ6C10200026, ,-68.796,-90.679,1.977,380, 
AQ6C20100002, ,-61.135,-54.016,1.807,226, 
AQ6C20100003, ,-61.147,-54.022,3.007,543, 
AQ6C20100004, ,-61.169,-54.048,8.496,588, 
AQ6C20100005, ,-61.207,-54.082,16.988,625, 
AQ6C20100007, ,-61.28,-54.103,21.238,668, 
AQ6C20100009, ,-61.264,-54.177,25.268,525, 
AQ6C20101001, ,-61.064,-55.349,3.138,219, 
AQ6C20101002, ,-61.098,-55.221,52.386,323, 
AQ6C20101003, ,-61.098,-55.091,5.293,331, 
AQ6C20101004, ,-61.12,-55.034,24.468,319, 
AQ6C20101005, ,-61.121,-54.888,27.635,411, 
